Super Energy Corporation PCL | Income Statement                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Rental Expense, Supplemental",--,--,--,--,227 ,0 ,0 ,0 ,743 ,630 ,630 ,630 ,630 ,630 ,630 ,842 ,849 ,821 ,817 ,624 ,504 ,508 ,510 ,461 ,385 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,950 ","5,440 ","2,020 ",--,"6,390 ","8,770 ","4,310 ","8,980 ","11,350 ","7,770 ","8,130 ",--,"7,650 ","7,570 ","7,740 ",--,--,--
"Equity in Affiliates, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(519),--,"24,176 ","28,389 ","24,428 ","8,875 ","22,218 ","19,718 ","14,131 ","8,331 ","33,090 ","19,720 ","19,992 ","11,298 ","4,946 ","24,219 ","30,374 ","32,186 ","24,947 ","20,905 ","17,686 ","13,177 ","24,888 ","21,680 ","13,509 ","16,131 ","23,128 ","20,948 ","11,065 ","15,949 ","22,261 ","20,252 ","11,502 ","17,614 ","20,021 ","19,841 "
"Minority Interest, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(244),(329),(643),(237),219 ,849 ,129 ,"3,254 ","8,712 ","93,087 ","(10,090)","38,158 ","(108,786)","(79,871)","(58,447)","(91,719)","(43,001)","(34,144)","(82,492)","(61,168)","(48,854)","(36,250)","(65,036)","(63,168)","(40,990)","(68,104)","(70,795)","(56,668)","(42,977)","(54,068)","(234,178)","(110,938)","(60,719)","79,706 ","(20,509)","(15,332)","(11,250)","(20,128)",0 ,0 ,"80,292 ","29,221 ","35,671 ","39,870 "
Normalized EBIT,"29,044 ","37,857 ","22,827 ","8,155 ","38,903 ","33,136 ","9,260 ","(30,553)","(22,554)","(24,572)","(18,634)","(20,357)","(18,891)","(23,256)","(11,209)","(15,666)","(19,324)","(18,847)","(19,307)","(26,292)","(65,961)","(45,234)","(19,022)","(91,399)","(11,903)","(17,104)","(15,035)","12,883 ","31,468 ","(14,122)","(17,328)","8,008 ","29,787 ",(86),"16,563 ",(506),"1,840 ","3,812 ","(7,595)","1,572 ",(960),"(6,836)","(27,297)","(14,552)","(20,400)","(168,935)","(119,243)","(103,496)","33,726 ","329,820 ","585,797 ","564,468 ","803,155 ","761,013 ","712,106 ","501,975 ","798,374 ","742,895 ","518,405 ","581,194 ","833,968 ","743,898 ","602,827 ","601,282 ","792,768 ","714,353 ","688,751 ","455,791 ","1,148,079 ","1,028,329 ","790,932 ","999,851 ","1,167,581 ","1,022,227 ","771,863 ","1,029,434 ","1,268,472 ","897,354 ","989,891 ","936,299 ","1,242,302 ","1,106,088 "
Normalized EBITDA,"35,043 ","44,544 ","29,211 ",--,"45,830 ","39,922 ","16,534 ","(23,570)","(9,349)","(11,028)","(4,997)","(6,583)","(6,145)","(10,386)","1,801 ","(3,469)","(13,023)","(12,640)","(13,131)",--,"(59,854)","(39,168)","(12,938)","(85,319)","(2,195)","(7,269)","(5,090)","22,867 ",--,--,"(1,742)","37,472 ","42,583 ","12,870 ","29,933 ","12,915 ","11,243 ","4,970 ","(6,388)","3,046 ","6,701 ","5,066 ","(11,259)","12,894 ","8,757 ","(139,448)","(85,054)","(41,840)","120,370 ","614,469 ","972,385 ","970,044 ","1,269,009 ","1,235,374 ","1,191,394 ","985,287 ","1,272,350 ","1,226,497 ","1,029,503 ","1,099,904 ","1,350,526 ","1,268,245 ","1,186,501 ","1,176,814 ","1,353,209 ","1,246,931 ","1,309,452 ","1,153,996 ","1,927,575 ","1,805,213 ","1,585,403 ","1,829,769 ","1,989,242 ","1,856,626 ","1,642,730 ","1,889,517 ","2,139,748 ","1,785,473 ","1,874,317 ","2,050,592 ","2,124,660 ","1,993,664 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,--,305 ,726 ,190 ,--,678 ,432 ,530 ,(285),"1,433 ",(966),214 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,--,305 ,726 ,190 ,--,678 ,432 ,530 ,(285),"1,433 ",(966),214 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,912 ",0 ,"3,862 ",--,0 ,0 ,0 ,--,(708),"1,667 ",0 ,(257),(12),(12),(12),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,912 ",0 ,"3,862 ",--,0 ,0 ,0 ,--,(708),"1,667 ",0 ,(257),(12),(12),(12),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,912 ",0 ,"3,862 ",--,305 ,726 ,190 ,--,(30),"3,099 ",530 ,(542),"1,421 ",(978),202 ,509 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Domestic Pension Plan Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,192 ,326 ,259 ,669 ,362 ,(118),--,--,33 ,29 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47 ,47 ,46 ,28 ,42 ,70 ,--,--,17 ,14 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,109 ,102 ,106 ,127 ,111 ,187 ,--,--,40 ,33 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Actuarial Gains and Losses - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36 ,177 ,107 ,514 ,209 ,(375),--,--,(24),(18),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79 ,75 ,82 ,76 ,73 ,70 ,68 ,42 ,71 ,71 ,71 ,68 ,258 ,393 ,326 ,735 ,362 ,(118),--,--,33 ,29 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defined Contribution Expense - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79 ,75 ,82 ,76 ,73 ,70 ,68 ,42 ,71 ,71 ,71 ,68 ,66 ,67 ,67 ,67 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Interest Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47 ,47 ,46 ,28 ,42 ,70 ,--,--,17 ,14 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,109 ,102 ,106 ,127 ,111 ,187 ,--,--,40 ,33 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Energy Corporation Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,THB 0.01 I,THB 0.00 F,--,--,--,THB 0.01 F,--,--,--,THB 0.01 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--
,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
Rights Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1 ,0 ,--,--,--,--,--,--,0 ,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,1 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,(30-Nov) ,(10-Mar) ,,,,,,,(02-Dec) ,,,,,,,(09-Aug) ,,,,(05-Sep) ,,,(17-Apr) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrip Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(29-Aug) ,,,,,,,,,,,,(22-Sep) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Split,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(03-Mar) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
