Tirathai PCL | Income Statement                                25-Sep-2024 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
"Minority Interest, Supplemental",232 ,(232),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(1),(700),(628),684 ,779 ,(378),330 ,"1,280 ",(340),"(1,553)","3,654 ","9,092 ",(690),259 ,"(1,037)","1,808 ","1,697 ",(298),(441),(258),"3,422 ",(235),"1,026 ",912 ,"1,268 ","1,224 ",50 ,"2,151 ",858 ,"2,934 ","1,696 ","1,180 ",243 ,277 ,"1,252 ",391 ,723 ,828 ,819 ,896 ,726 ,388 ,865 ,"1,020 ",423 ,526 ,(27)
Normalized EBIT,"36,124 ","72,214 ","19,866 ","(24,520)","10,021 ","20,679 ","50,520 ","51,220 ","(28,518)","60,607 ","69,189 ","88,681 ","44,425 ","55,419 ","(5,707)","210,706 ","118,448 ","73,728 ","(20,670)","133,045 ","102,687 ","18,087 ","38,428 ","37,911 ","44,516 ","53,903 ","114,270 ","62,733 ","(38,039)","72,568 ","29,376 ","4,860 ","39,872 ","57,144 ","4,614 ","161,072 ","10,124 ","(21,190)","(57,873)","149,710 ","(4,064)","(136,684)","7,683 ","76,218 ","30,624 ","31,667 ","(6,114)","43,676 ","(25,489)","(54,497)","(82,599)","116,300 ","8,467 ","12,367 ","(33,403)","51,774 ","(14,097)","(3,463)","12,114 ","205,206 ","(19,217)","(10,685)","17,718 ","116,753 ","(25,685)","54,503 ","96,454 ","26,565 ","(22,298)","(45,504)","(4,808)","2,525 ","(26,987)","(1,668)","159,334 ","113,030 ","178,005 "
Normalized EBITDA,"46,471 ","84,722 ","34,054 ","(8,933)","21,100 ","33,084 ","64,169 ","65,994 ","(17,244)","72,087 ","80,758 ","99,974 ","43,359 ","72,692 ","3,203 ","220,171 ","127,590 ","82,021 ","(12,130)","141,294 ","111,052 ","26,689 ","48,450 ","46,585 ",--,--,--,--,--,--,"41,919 ","16,926 ","53,291 ","70,366 ","17,630 ","173,372 ","22,443 ","(7,737)","(43,919)","167,827 ","10,667 ","(121,972)","22,989 ","93,150 ","45,711 ","48,211 ","12,104 ","60,903 ","(8,059)","(34,480)","(59,926)","139,454 ","29,990 ","34,481 ","(10,967)","73,772 ","7,473 ","18,098 ","33,791 ","225,964 ","4,314 ","13,824 ","41,545 ","136,724 ","(4,423)","75,048 ","117,112 ","37,122 ","(1,942)","(24,658)","14,511 ","19,314 ","(10,952)","14,320 ","177,238 ","130,483 ","196,137 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,"7,777 ","6,873 ",(872),--,--,835 ,"27,318 ","3,034 ",(458),(92),"23,041 ","2,099 ","(2,099)",144 ,"9,582 ","7,044 ","9,321 ","(2,472)","16,655 ","1,353 ",169 ,"(1,522)","7,034 ","1,989 ","1,260 ","(3,113)","5,483 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Current Tax - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,"7,777 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,873 ",(872),--,--,835 ,"27,318 ","3,034 ",(458),(92),"23,041 ","2,099 ","(2,099)",144 ,"9,582 ","7,044 ","9,321 ","(2,472)","16,655 ","1,353 ",169 ,"(1,522)","7,034 ","1,989 ","1,260 ","(3,113)","5,483 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(8,084)","6,761 ",417 ,963 ,--,--,"(1,917)","1,655 ","(1,512)","(3,087)","(8,126)","5,436 ","(8,680)","(17,591)","(2,003)","6,631 ","(1,107)","(3,206)","1,631 ","(3,431)","(9,066)","(15,125)","(16,970)","13,483 ","(1,598)","(2,547)","(6,055)","33,950 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(8,084)","6,761 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,417 ,963 ,--,--,"(1,917)","1,655 ","(1,512)","(3,087)","(8,126)","5,436 ","(8,680)","(17,591)","(2,003)","6,631 ","(1,107)","(3,206)","1,631 ","(3,431)","(9,066)","(15,125)","(16,970)","13,483 ","(1,598)","(2,547)","(6,055)","33,950 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Tax - Total,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(8,084)","14,538 ","7,290 ",92 ,--,--,"(1,082)","28,973 ","1,522 ","(3,546)","(8,218)","28,477 ","(6,581)","(19,689)","(1,858)","16,213 ","5,937 ","6,115 ",(841),"13,224 ","(7,713)","(14,956)","(18,492)","20,517 ",391 ,"(1,287)","(9,168)","39,434 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Domestic Pension Plan Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,740 ",--,--,--,"2,920 ","1,980 ",--,--,"2,340 ","2,330 ","2,340 ","2,330 ","2,400 ","2,480 ","2,440 ","2,440 ","3,310 ","3,490 ","3,480 ","3,500 ","3,780 ","7,560 ","7,550 ","3,780 ","4,050 ","3,890 ","4,050 ","4,040 ","3,050 ","2,900 ","2,900 ","2,900 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,410 ,--,--,--,530 ,460 ,--,--,490 ,490 ,500 ,490 ,510 ,510 ,510 ,510 ,630 ,660 ,660 ,670 ,730 ,"1,460 ","1,450 ",730 ,820 ,830 ,820 ,820 ,570 ,570 ,570 ,610 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,330 ",--,--,--,"2,390 ","1,520 ",--,--,"1,850 ","1,840 ","1,840 ","1,840 ","1,890 ","1,970 ","1,930 ","1,930 ","2,680 ","2,830 ","2,820 ","2,830 ","3,050 ","6,100 ","6,100 ","3,050 ","3,230 ","3,060 ","3,230 ","3,220 ","2,480 ","2,330 ","2,330 ","2,290 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,740 ",--,--,--,"2,920 ","1,980 ",--,--,"2,340 ","2,330 ","2,340 ","2,330 ","2,400 ","2,480 ","2,440 ","2,440 ","3,310 ","3,490 ","3,480 ","3,500 ","3,780 ","7,560 ","7,550 ","3,780 ","4,050 ","3,890 ","4,050 ","4,040 ","3,050 ","2,900 ","2,900 ","2,900 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Assumptions,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Discount Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.25%,--,--,--,--,3.33%,--,3.33%,3.33%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Compensation Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.00%,--,--,--,--,8.00%,--,5.00%,5.00%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Interest Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,410 ,--,--,--,530 ,460 ,--,--,490 ,490 ,500 ,490 ,510 ,510 ,510 ,510 ,630 ,660 ,660 ,670 ,730 ,"1,460 ","1,450 ",730 ,820 ,830 ,820 ,820 ,570 ,570 ,570 ,610 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,330 ",--,--,--,"2,390 ","1,520 ",--,--,"1,850 ","1,840 ","1,840 ","1,840 ","1,890 ","1,970 ","1,930 ","1,930 ","2,680 ","2,830 ","2,820 ","2,830 ","3,050 ","6,100 ","6,100 ","3,050 ","3,230 ","3,060 ","3,230 ","3,220 ","2,480 ","2,330 ","2,330 ","2,290 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirathai Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.00 F,--,--,THB 0.11 I,THB 0.16 F,--,--,--,THB 0.46 F,--,--,--,THB 0.50 F,--,--,--,THB 0.27 F,--,THB 0.14 I,--,THB 0.23 F,--,--,--,THB 0.01 F,--,THB 0.11 I,--,THB 0.19 F,--,--,--,THB 0.10 F,--,--,--,THB 0.05 F,--,--,--,THB 0.13 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.12 F,--,--,--,THB 0.02 F,--,--,--,THB 0.12 F,--,--,--,THB 0.00 F,--,--,--,THB 0.21 F,--
,,,,,,,,(31-Dec) Pd.End ,,,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.00 F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(31-Dec) Pd.End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(21-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Split,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,(06-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
