Lighting and Equipment PCL | Income Statement                                25-Sep-2024 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Interest Expense, Supplemental","3,216 ","3,349 ","3,477 ","2,421 ","2,847 ","2,992 ","3,373 ","2,901 ","3,035 ","3,203 ","4,307 ","5,310 ","4,961 ","6,010 ","7,180 ","7,260 ","7,354 ","6,683 ","5,669 ","6,202 ","5,637 ","5,605 ","6,180 ","6,875 ","6,377 ","5,497 ","4,964 ","4,378 ","4,044 ","4,263 ","4,512 ","4,485 ","4,775 ","5,905 ","6,784 ","7,646 ","7,743 ","7,622 ","7,375 ","7,659 ","7,202 ","7,004 ","7,408 ","7,387 ","8,154 ","9,094 ","9,752 ","10,853 ","11,035 ","14,670 ","16,363 ","16,292 ","15,404 ","15,131 ","15,012 ","13,775 ","11,212 ","11,788 ","11,184 ","11,683 ","11,612 ","11,110 ","11,436 ","11,549 ","10,936 ","10,453 ","10,623 ","10,594 ","10,039 ","10,593 ","9,330 ","8,932 ","7,776 ","8,681 ","8,827 ","9,537 ","9,330 ","9,966 ","10,154 ","11,469 ","12,857 ","13,376 ","15,308 ","15,554 ","16,081 ","16,306 "
"Rental Expense, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,150 ,150 ,150 ,"22,777 ",203 ,--,--,"25,562 ",--,--,--,24 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Minority Interest, Supplemental",0 ,0 ,0 ,0 ,0 ,0 ,0 ,(2),(1),0 ,(1),0 ,0 ,0 ,1 ,(1),0 ,0 ,0 ,0 ,0 ,(1),0 ,0 ,0 ,--,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,(2),0 ,0 ,0 ,(1),0 ,217 ,290 ,64 ,(32),(52),(222),(56),(14),(45),(162),(73),54 ,194 ,61 ,(308),(44),27 ,151 ,113 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,(2),(2),0 ,0 ,0 ,(1),2 ,2 ,2 ,0 ,1 
Normalized EBIT,"5,348 ","10,884 ","15,642 ","16,818 ","11,503 ","9,440 ","26,502 ","32,782 ","13,749 ","18,610 ","25,307 ","41,440 ","16,837 ","24,696 ","58,770 ","44,509 ","17,548 ","19,624 ","19,663 ","21,486 ","21,047 ","21,435 ","20,239 ","22,372 ","12,589 ","(2,839)","10,333 ","19,504 ","14,602 ","7,327 ","30,726 ","31,868 ","26,120 ","24,892 ","53,766 ","21,431 ","33,429 ","12,175 ","40,555 ","51,732 ","29,978 ","33,868 ","74,841 ","66,388 ","37,948 ","31,958 ","93,187 ","42,453 ","23,093 ","32,978 ","32,872 ","30,408 ","12,362 ","26,410 ","46,701 ","43,385 ","12,213 ","20,428 ","40,969 ","37,505 ","33,302 ","40,461 ","54,689 ","57,136 ","29,690 ","(8,280)","38,422 ","68,067 ","18,946 ","3,542 ","30,396 ","21,089 ","(2,606)","7,749 ","7,674 ","34,786 ","(7,685)","13,055 ","16,910 ","9,446 ","4,852 ","(16,596)","13,573 ","23,395 ","(5,253)","(5,032)"
Normalized EBITDA,--,"15,215 ","17,916 ","19,459 ","11,503 ","15,117 ","29,492 ","36,263 ","17,376 ","21,731 ","30,670 ","44,229 ","21,457 ","28,732 ","63,093 ","47,570 ","22,282 ","24,317 ","25,432 ","25,472 ","27,109 ","28,104 ","27,142 ","28,623 ","20,500 ","5,657 ","19,148 ","8,483 ","23,086 ",--,"38,764 ","40,071 ","34,578 ","27,319 ","62,089 ","29,919 ","41,991 ","21,174 ","51,133 ","59,166 ","39,083 ","43,975 ","82,798 ","75,849 ","46,349 ","40,252 ","102,089 ","52,254 ","33,965 ","48,385 ","49,683 ","51,336 ","32,216 ","46,434 ","67,037 ","64,115 ","32,833 ","40,703 ","61,549 ","58,261 ","53,533 ","60,862 ","75,270 ","77,960 ","50,688 ","14,613 ","60,806 ","89,822 ","44,683 ","40,219 ","62,503 ","48,702 ","27,110 ","38,762 ","35,782 ","68,605 ","23,086 ","45,024 ","50,637 ","38,965 ","36,979 ","15,662 ","47,026 ","56,722 ","26,767 ","26,346 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Pension Plan Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,630 ,630 ,630 ,630 ,650 ,650 ,--,--,697 ,697 ,698 ,691 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,198 ,198 ,199 ,200 ,208 ,138 ,--,--,233 ,142 ,233 ,231 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,432 ,432 ,431 ,430 ,442 ,512 ,--,--,464 ,555 ,465 ,460 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,630 ,630 ,630 ,630 ,650 ,650 ,--,--,697 ,697 ,698 ,691 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Assumptions,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Discount Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.10%,4.10%,4.10%,--,--,--,--,4.10%,4.10%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Compensation Rate - Domestic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.00%,6.00%,6.00%,--,--,--,--,6.00%,6.00%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Interest Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,198 ,198 ,199 ,200 ,208 ,138 ,--,--,233 ,142 ,233 ,231 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,432 ,432 ,431 ,430 ,442 ,512 ,--,--,464 ,555 ,465 ,460 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighting & Equipment Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.07 F,--,--,--,THB 0.08 F,--,--,--,THB 0.03 F,--,--,--,THB 0.08 F,--,--,--,THB 0.07 F,--,--,--,THB 0.04 F,--,--,--,THB 0.07 F,--,--,--,THB 0.09 F,--,--,--,THB 0.11 F,--,--,--,THB 0.04 F,--,--,--,THB 0.18 F,--,--,--,THB 0.09 F,--,--,--,THB 0.15 F,--,--,--,THB 0.12 F,--,--,--,THB 0.16 F,--,--,--,THB 0.14 F,--,--,--,THB 0.08 F,--,--,--,THB 0.09 F,--,--,--,THB 0.06 F,--,--,--,THB 0.04 F,--,--
,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,THB 3.33 F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.57 F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,(31-Dec) Pd.End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,(31-Dec) Pd.End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.5 : 1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,(28-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,(22-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrip Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30-Jun) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Split,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(24-Apr) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
