Stark Corporation PCL                                12-Sep-2024 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Normalized EBIT,,"24,462 ","27,167 ","13,979 ","32,837 ","33,978 ","27,924 ","14,723 ",(497),"8,624 ","34,710 ","(15,120)","(62,461)","7,055 ","12,268 ","2,781 ","(24,031)","(23,703)","(16,440)","(33,876)","(16,708)","8,621 ","8,182 ","2,341 ","14,435 ","6,821 ","8,098 ","3,509 ","4,703 ","5,159 ","3,841 ","7,138 ","3,780 ","20,509 ","21,212 ","(1,058)","8,386 ","15,949 ","20,948 ","8,306 ",(467),"(6,592)","12,205 ","9,449 ","(2,134)","11,341 ","(1,937)","(7,556)","(23,597)","(24,281)","(13,168)","(27,907)","(70,720)","(17,064)","(21,702)","33,555 ","(28,698)","2,920 ","298,549 ","244,548 ","436,695 ","285,569 ","134,069 ","235,028 ","174,279 ","325,220 ","516,144 ","675,604 ","540,900 ","797,529 ","620,102 ","1,627,563 ","(7,377,405)","847,609 ","1,164,171 ","1,962,039 ","(8,838,765)"
Normalized EBITDA,,"31,618 ","34,065 ","21,826 ","45,739 ","42,205 ","37,160 ","23,868 ","7,685 ","14,055 ","45,921 ",(459),"(49,799)","19,147 ","17,763 ","8,414 ","(19,270)","(18,284)","(8,926)","(26,299)","21,421 ","14,465 ","13,955 ","5,143 ","55,358 ","17,815 ","16,739 ","11,496 ","13,801 ",--,--,--,--,"30,727 ","31,400 ","8,940 ","18,208 ","26,709 ","19,231 ","19,119 ","4,864 ",--,--,"15,510 ","3,917 ","24,114 ","3,425 ","(1,972)","(18,104)","(18,969)","(7,993)","(22,777)","(65,738)","(12,220)","(16,892)","38,217 ","(24,597)","5,800 ","309,484 ","370,050 ","476,846 ","330,557 ","180,276 ","282,355 ","221,220 ","392,051 ","621,025 ","776,786 ","603,718 ","889,132 ","716,801 ","1,737,003 ","(7,275,329)","948,925 ","1,299,136 ","2,060,280 ","(8,698,361)"
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,"39,699 ","40,140 ","38,228 ","30,276 ","93,088 ","112,397 ","124,820 ","121,876 ","123,829 ","94,129 ","320,670 ","207,983 ","200,006 ","271,785 ","225,229 ","(357,245)"
Current Tax - Total,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,--,"39,699 ","40,140 ","38,228 ","30,276 ","93,088 ","112,397 ","124,820 ","121,876 ","123,829 ","94,129 ","320,670 ","207,983 ","200,006 ","271,785 ","225,229 ","(357,245)"
Deferred Tax - Total,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,171)","1,379 ",782 ,"(1,834)",--,--,"(2,452)","(12,387)","(5,949)","(4,087)",0 ,935 ,"13,324 ",(341),"3,274 ","(2,089)",--,--,--,--,"6,750 ","(5,391)","(4,731)",396 ,"(13,649)","10,580 ","(49,818)","1,610 ","2,809 ","3,306 ","(29,358)","10,905 ","26,909 ","(1,778)","11,277 ","47,220 "
Deferred Tax - Total,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,171)","1,379 ",782 ,"(1,834)",--,--,"(2,452)","(12,387)","(5,949)","(4,087)",0 ,935 ,"13,324 ",(341),"3,274 ","(2,089)",--,--,--,--,"6,750 ","(5,391)","(4,731)",396 ,"(13,649)","10,580 ","(49,818)","1,610 ","2,809 ","3,306 ","(29,358)","10,905 ","26,909 ","(1,778)","11,277 ","47,220 "
Income Tax - Total,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,171)","1,379 ",782 ,"(1,834)",--,--,"(2,452)","(12,387)","(5,949)","(4,087)",0 ,935 ,"13,324 ",(341),"3,274 ","(2,089)",--,--,--,--,"46,449 ","34,749 ","33,497 ","30,672 ","79,439 ","122,978 ","75,002 ","123,486 ","126,638 ","97,435 ","291,312 ","218,888 ","226,915 ","270,007 ","236,506 ","(310,025)"
Total Pension Expense,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,270 ,150 ,140 ,--,--,150 ,170 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defined Contribution Expense - Domestic,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,270 ,150 ,140 ,--,--,150 ,170 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark Corporation Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,,--,--,--,THB 0.27 F,--,--,--,THB 0.07 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.04 F,--,--,--,THB 0.04 F,--,--,--,THB 0.01 F,--,--,--,THB 0.04 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F
,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End 
Stock Dividend,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.67 F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(31-Dec) Pd.End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write Off,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1x,--,--,1x,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(23-Dec) ,,,(30-Jul) ,,,,,,,,,
Stock Dividend,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(21-May) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rights Issue,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1 ,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30-Sep) ,,,,,,,,,,,,,
Share Consolidation,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(29-Dec) ,,,,,,,,
Scrip Issue,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(09-Jun) ,,,,,,,,(01-Jun) ,,,,,,,,,,,,,,,(15-Jan) ,,,,,,,
Dividends & Capital Changes After Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark Corporation Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cash Dividend,THB 0.00 F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(31-Dec) Pd.End ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
